,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.00997949619479e-09,6.299922989370954e-09,6.1356369519140955e-09,6.089788656527153e-09,1.0407568150521905e-08,8.81523502558685e-09,1.2369853675077977e-08,1.2123625737914986e-08,9.469847073339607e-09,2.3809744206615814e-08,7.989816959640296e-08,6.0068621464542915e-09,6.300332570908524e-09,6.1403607485338884e-09,6.106417204772797e-09,1.0399335218266375e-08,8.91566233028924e-09,1.2352212102679577e-08,1.2126890597923287e-08,9.438155419230669e-09,2.3818015596394042e-08,7.985507796684216e-08,6.164326564244734e-09,6.138750848045849e-09,6.132817495947599e-09,6.159269039890493e-09,1.0465582799889568e-08,8.86256182299645e-09,1.2460236438124504e-08,1.212100659917474e-08,9.451204191946343e-09,2.381196051459913e-08,7.986594845867739e-08,6.165855167640881e-09,6.142363973518859e-09,6.142917453041337e-09,6.131262690936496e-09,1.0388136086736771e-08,8.836497612254258e-09,1.2388452039611069e-08,1.2221524889113402e-08,9.45187590266528e-09,2.3813633362769732e-08,7.989556492811517e-08,6.162808189302704e-09,6.133281418798469e-09,6.294272266176636e-09,6.107298171032877e-09,1.0391739729619863e-08,8.80875021824937e-09,1.2334814714904104e-08,1.2130406843659196e-08,9.463027953544282e-09,2.3899087506167198e-08
2,8.459652355858545e-09,9.194378464616138e-09,8.50257638001864e-09,8.505619261139491e-09,1.3066377575146057e-08,1.1406939893253148e-08,1.5329722580618973e-08,1.478105882050697e-08,1.126984501119821e-08,2.719725988780275e-08,8.153202674384866e-08,8.445299605980815e-09,9.19602729375943e-09,8.528205135079654e-09,8.571403912199858e-09,1.3038831546701709e-08,1.1852524515455206e-08,1.5239681238995644e-08,1.4797222004098686e-08,1.1124200456584455e-08,2.724023446996854e-08,8.183453984629199e-08,9.10671231473347e-09,8.519511965941916e-09,8.487113180362274e-09,8.79767871417725e-09,1.3336338289066838e-08,1.1618528661141085e-08,1.576322007687922e-08,1.4768070085906837e-08,1.1196438634428217e-08,2.721424788178757e-08,8.173326812650846e-08,9.112575898150824e-09,8.536412682393607e-09,8.530554790112251e-09,8.677531423139178e-09,1.297281854927568e-08,1.1501628646833153e-08,1.54223479436497e-08,1.5236262512789666e-08,1.1197384159620403e-08,2.7211815733213216e-08,8.154746023446772e-08,9.100491057754508e-09,8.485903522819916e-09,9.17174828273762e-09,8.575326186034192e-09,1.2990264847816589e-08,1.1370740823453373e-08,1.5158448399345078e-08,1.4814342189426287e-08,1.123920905243444e-08,2.7737532657925863e-08
3,7.919105744597597e-09,8.597511457171258e-09,7.96311207629081e-09,7.964026867026678e-09,1.2277237848745846e-08,1.0707004772422003e-08,1.4411229448972903e-08,1.390267528093401e-08,1.0609272906336434e-08,2.564488185218402e-08,7.722715252831239e-08,7.905956346296458e-09,8.599024310094073e-09,7.986566648923096e-09,8.024402644391935e-09,1.2251927707403797e-08,1.1115393803916524e-08,1.4328838896803435e-08,1.3917477095855783e-08,1.0475802227022707e-08,2.568421711286272e-08,7.749971766555232e-08,8.51249747090384e-09,7.97861074023453e-09,7.94896186305587e-09,8.231843964787206e-09,1.2524553922812777e-08,1.0900910793877835e-08,1.4808243897700371e-08,1.389078075510462e-08,1.054190174899072e-08,2.5660395663212282e-08,7.740831990830585e-08,8.517880966771254e-09,7.994092802932656e-09,7.988796128639144e-09,8.121685494829774e-09,1.2191554114764004e-08,1.079380295833796e-08,1.4496030426254538e-08,1.4319681143332741e-08,1.0542782575328813e-08,2.5658233909914736e-08,7.724105796694277e-08,8.506790737184216e-09,7.947880454377187e-09,8.576746938390119e-09,8.027998123067316e-09,1.2207531090205869e-08,1.0673887440686596e-08,1.4254411856415093e-08,1.3933157325806343e-08,1.0581191142319242e-08,2.613870964700694e-08
4,7.477081408889196e-09,8.122578814608479e-09,7.520056841273186e-09,7.520588662115587e-09,1.160853710931146e-08,1.0119045185265505e-08,1.3638279886017113e-08,1.3151492004810467e-08,1.0049141262519816e-08,2.4300135845504433e-08,7.336773037402473e-08,7.464669519990781e-09,8.124016429119185e-09,7.54239370518393e-09,7.578046547313044e-09,1.1584669125993244e-08,1.0506896751284974e-08,1.3560253680164805e-08,1.3165571529330212e-08,9.922202496632033e-09,2.4337591123401912e-08,7.36270341950351e-08,8.040679800053503e-09,7.534816149396158e-09,7.506584924729008e-09,7.774857375464186e-09,1.1843421074135588e-08,1.0303146267233425e-08,1.4015465526173915e-08,1.314017813677482e-08,9.985149499786992e-09,2.431501361215385e-08,7.354003367883919e-08,8.045801800397291e-09,7.549448537908706e-09,7.544441075774864e-09,7.67021891679362e-09,1.1527186864502607e-08,1.0201634024730644e-08,1.3718832769415199e-08,1.3547459219620338e-08,9.985866563766046e-09,2.4312768260268978e-08,7.338106959611102e-08,8.035258331561713e-09,7.50553188851558e-09,8.102843445717102e-09,7.581467258772647e-09,1.1542354863690302e-08,1.0087594045321759e-08,1.3489419304802327e-08,1.3180488461351913e-08,1.0022426872437888e-08,2.4769263204940835e-08
5,7.195462632387125e-09,7.806792823044891e-09,7.2339491338478096e-09,7.235135892091356e-09,1.1137849483047789e-08,9.718373165276246e-09,1.3061244504239253e-08,1.260607070292925e-08,9.60620696536425e-09,2.321014878088442e-08,6.969577862959572e-08,7.183508303309849e-09,7.808158049674441e-09,7.255064101577066e-09,7.289531066039869e-09,1.1114815638383012e-08,1.0087156230574504e-08,1.298660927138277e-08,1.2619413798958512e-08,9.485870180007e-09,2.3245566545601644e-08,6.994151427502993e-08,7.731253109307623e-09,7.247902571634389e-09,7.2212061397221305e-09,7.477063879992784e-09,1.1361175920969629e-08,9.893531090347314e-09,1.3419614635648291e-08,1.2595348137644635e-08,9.54537918991556e-09,2.3224006719703396e-08,6.985916800008904e-08,7.736104593948687e-09,7.261958007730734e-09,7.257150484703686e-09,7.377609827150662e-09,1.1060448975534052e-08,9.796589290355927e-09,1.3137805036281161e-08,1.2982707743704093e-08,9.546300291135395e-09,2.322225720668146e-08,6.97081983759596e-08,7.72610169999982e-09,7.220256882843646e-09,7.788058452005977e-09,7.292771566437668e-09,1.1074882402989678e-08,9.68846656463203e-09,1.2919558113350934e-08,1.2633546804668904e-08,9.580895722623959e-09,2.3655958742247147e-08
6,6.937646942213599e-09,7.516260152550187e-09,6.971621739696121e-09,6.9735004543952975e-09,1.0702283555070507e-08,9.348850691807642e-09,1.2524121038876452e-08,1.2099767703370615e-08,9.191650513084348e-09,2.2187884831909147e-08,6.620693167011977e-08,6.926111276398621e-09,7.517556432260953e-09,6.991563398609491e-09,7.024961195919709e-09,1.0680008217441364e-08,9.6995149850117e-09,1.2452663533035019e-08,1.2112406668221346e-08,9.077622205810116e-09,2.2221346039769258e-08,6.643965697897692e-08,7.447004113308977e-09,6.984801494956585e-09,6.959577934489839e-09,7.203718620316987e-09,1.091462756868537e-08,9.515521900239471e-09,1.2864582544028656e-08,1.2089610464732246e-08,9.133830515505012e-09,2.2200744123547848e-08,6.636178288063165e-08,7.451596645540248e-09,6.998323828477199e-09,6.993700940055052e-09,7.109194591599334e-09,1.062863060900809e-08,9.42288045214011e-09,1.2596884453715233e-08,1.2458050559375085e-08,9.134970325288122e-09,2.219950422591933e-08,6.621845022493628e-08,7.4421096895708315e-09,6.958732502167612e-09,7.498480106443397e-09,7.028029263846904e-09,1.0642367266847777e-08,9.320410741839992e-09,1.2389237998371486e-08,1.2125789740186326e-08,9.167681322536087e-09,2.261150487319141e-08
7,6.699774685730953e-09,7.266601986252858e-09,6.729732390563643e-09,6.733029048780175e-09,1.0292620638089766e-08,9.001660780461492e-09,1.2023215523945944e-08,1.1621784675275319e-08,8.822518228400313e-09,2.119174057242148e-08,6.284582763302032e-08,6.688339638320143e-09,7.267877540524617e-09,6.7492445450374126e-09,6.783760575336036e-09,1.0270236309833531e-08,9.347659445201664e-09,1.1952201897946696e-08,1.163422349186287e-08,8.710393845098881e-09,2.122487742775824e-08,6.30849429072014e-08,7.201965171566333e-09,6.742628838861184e-09,6.717944708426715e-09,6.960288688125529e-09,1.0502131717352336e-08,9.166266822507293e-09,1.2359457865006798e-08,1.1611787350673174e-08,8.765377645363252e-09,2.1204225488802403e-08,6.300525197097145e-08,7.206460168256464e-09,6.7560092265256e-09,6.751570774944013e-09,6.867137706995738e-09,1.0219916639377245e-08,9.074550952431901e-09,1.2095115597391439e-08,1.1975543645942808e-08,8.766657321286343e-09,2.120350518193519e-08,6.285717733948694e-08,7.1971431155249434e-09,6.717192094143481e-09,7.249120047037067e-09,6.786778814694769e-09,1.0233476721505632e-08,8.973711686545142e-09,1.1889599962809375e-08,1.1647402910036693e-08,8.798941542343704e-09,2.1611890382012465e-08
8,6.3891183556096716e-09,6.9314502625302566e-09,6.417060751835108e-09,6.4205310242677415e-09,9.805988413075295e-09,8.578414532161807e-09,1.145002290750845e-08,1.1069042326899877e-08,8.401596823126855e-09,2.015742710848824e-08,5.969218823642134e-08,6.378148192418559e-09,6.932671921716448e-09,6.4357244960240004e-09,6.469139246448033e-09,9.784449051847609e-09,8.909997955968768e-09,1.1381858416416241e-08,1.1080955994742289e-08,8.294227366239511e-09,2.0189209426131486e-08,5.99233918530258e-08,6.870302180606759e-09,6.429396586613761e-09,6.405784865738657e-09,6.63834503658001e-09,1.0006769023756939e-08,8.736195569813786e-09,1.1772323431039886e-08,1.1059466867447156e-08,8.346817396646082e-09,2.0169347821988974e-08,5.984640438848757e-08,6.874602012118305e-09,6.442227804093806e-09,6.438000776069088e-09,6.549099852255632e-09,9.736306750374492e-09,8.648234485772045e-09,1.1518950043676919e-08,1.1408115093624456e-08,8.348077392806412e-09,2.0168766272202758e-08,5.97030616744456e-08,6.865682595573327e-09,6.4050812718418236e-09,6.914710034744794e-09,6.472029786400822e-09,9.749303221103582e-09,8.551654107177254e-09,1.1321860327855015e-08,1.1093580789043293e-08,8.379018428664417e-09,2.0560539748172962e-08
9,6.255691173733046e-09,6.800061960484239e-09,6.278282552822529e-09,6.284153343595251e-09,9.529922589213704e-09,8.354808177392078e-09,1.1091336866823855e-08,1.0732516366264308e-08,8.135777220680926e-09,1.9342607476196394e-08,5.66175194777083e-08,6.244456232416703e-09,6.801297491182855e-09,6.296974295162925e-09,6.333465277233502e-09,9.507369037626938e-09,8.691702900691421e-09,1.1021247735734096e-08,1.0744567742157866e-08,8.02732554080384e-09,1.9375092964480523e-08,5.686786480116386e-08,6.743949134283247e-09,6.29063783109472e-09,6.266984270359316e-09,6.505631611182841e-09,9.733904780208734e-09,8.515367016167103e-09,1.1419298775803513e-08,1.0722828689858583e-08,8.079971342044372e-09,1.935438112130076e-08,5.6785003244527685e-08,6.7482580492004735e-09,6.303739100390235e-09,6.299645732613766e-09,6.415145416771435e-09,9.459074571568564e-09,8.425489670935431e-09,1.1161537520843544e-08,1.1077416172863543e-08,8.081509386905698e-09,1.9354620173581633e-08,5.662853335283154e-08,6.739267388848093e-09,6.266404127238899e-09,6.783154423588447e-09,6.336387260603078e-09,9.472289250841818e-09,8.327803995738852e-09,1.0960259942958282e-08,1.0757352089762012e-08,8.11295857690925e-09,1.9755694623166444e-08
