,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-3.4849927581002807e-09,-1.764469192392845e-08,-3.484884582970487e-09,-1.5811531925155787e-09,-5.76248281241709e-09,-5.756324188331948e-09,-2.9780623460443068e-09,-1.5374384939899207e-09,-3.486320986097024e-09,-1.76725210407507e-08,-3.485161177165947e-09,-1.5808311563792373e-09,-5.762025591839181e-09,-5.756396606874274e-09,-2.977722765869432e-09,-1.5366069620779704e-09,-3.4896612576666384e-09,-1.766958054779046e-08,-3.485831950503621e-09,-1.5801549534517547e-09,-5.762833794897389e-09,-5.754740833687685e-09,-2.9832143298933265e-09,-1.536445665535926e-09,-3.4847916207662084e-09,-1.7658720252030368e-08,-3.488108046680818e-09,-1.5846923777295303e-09,-5.761966218029667e-09,-5.756570745752357e-09,-2.9767185042378034e-09,-1.5367818680736721e-09,-3.489710782716286e-09,-1.7644900889785296e-08,-3.4850000896160054e-09,-1.5812700295475878e-09
2,-3.3125918920256056e-09,-1.676580771260412e-08,-3.3124732757660553e-09,-1.5035391540907416e-09,-5.476849141018707e-09,-5.471018701010518e-09,-2.831118717999079e-09,-1.46203110694998e-09,-3.313889410646168e-09,-1.67920018584754e-08,-3.3127409153009386e-09,-1.5032209897654475e-09,-5.476693563078141e-09,-5.471095677570652e-09,-2.8307498569116622e-09,-1.4612290943805947e-09,-3.3172211793944936e-09,-1.6789242129881154e-08,-3.3134060870517697e-09,-1.5025536768475438e-09,-5.477188609528819e-09,-5.46980262872856e-09,-2.8362228798732176e-09,-1.4610705196473457e-09,-3.312377552187122e-09,-1.6779005120919978e-08,-3.3156878652865664e-09,-1.5069834678509098e-09,-5.47662817052909e-09,-5.471267384729282e-09,-2.829765538135264e-09,-1.4614009727659236e-09,-3.3172699957080605e-09,-1.676600417456638e-08,-3.3125993835778097e-09,-1.5036415493558495e-09
3,-3.1501075867376843e-09,-1.5932915834147155e-08,-3.14997002397718e-09,-1.4308042267377083e-09,-5.207207276237573e-09,-5.20169510592692e-09,-2.69287376574262e-09,-1.391408197092891e-09,-3.1513973464173783e-09,-1.5957419073885387e-08,-3.1502319682519693e-09,-1.4304829217387072e-09,-5.207501911391653e-09,-5.201781526166936e-09,-2.692450327005229e-09,-1.3906273939359368e-09,-3.154814306216681e-09,-1.5954850497463474e-08,-3.1509083246371396e-09,-1.4298092995421396e-09,-5.2075395408308425e-09,-5.200996282555899e-09,-2.6980563706017092e-09,-1.3904682610512936e-09,-3.149867280987268e-09,-1.5945250255945595e-08,-3.1532656734868187e-09,-1.4342071327566871e-09,-5.207425474894862e-09,-5.201954457170744e-09,-2.691467253906005e-09,-1.3907995001754227e-09,-3.1548634995899727e-09,-1.5933099239873768e-08,-3.1501155417439555e-09,-1.4308882274044687e-09
4,-2.458895349611393e-09,-1.5015172700765013e-08,-2.459218796442835e-09,-9.569876287857725e-10,-4.3520070157862494e-09,-4.395230911449488e-09,-2.0716629845890437e-09,-9.110237540806302e-10,-2.4610631197521064e-09,-1.5036470567390407e-08,-2.4591482640231164e-09,-9.573682996155598e-10,-4.351211164817567e-09,-4.3963833410609585e-09,-2.0738200876359827e-09,-9.108091045614636e-10,-2.4609568189505188e-09,-1.5035603677533114e-08,-2.460231211361467e-09,-9.558751161152645e-10,-4.353668981188086e-09,-4.392999261951559e-09,-2.075529364353308e-09,-9.104497775345814e-10,-2.4588808687704263e-09,-1.5025112422563356e-08,-2.45978075799299e-09,-9.583316423914133e-10,-4.35111979748751e-09,-4.396017460187101e-09,-2.0731670880931976e-09,-9.112113036018135e-10,-2.460995437082985e-09,-1.501531064731209e-08,-2.4589136523139154e-09,-9.57208754714461e-10
5,-2.4488282040108168e-09,-1.4289831015026277e-08,-2.449042874367459e-09,-9.941802573871398e-10,-4.260226292189448e-09,-4.291031733144291e-09,-2.0709535708414926e-09,-9.523214610488116e-10,-2.450680481600019e-09,-1.4310557351829725e-08,-2.4490417597524803e-09,-9.943997785623562e-10,-4.259628862885507e-09,-4.291899311365297e-09,-2.0724743796110965e-09,-9.520096346742373e-10,-2.451249358373637e-09,-1.4309392059066379e-08,-2.4499717574151875e-09,-9.93165628406592e-10,-4.261520466991949e-09,-4.289169806434447e-09,-2.0747994188669675e-09,-9.517131573939733e-10,-2.4487738820524025e-09,-1.4299689034643016e-08,-2.4500833782761784e-09,-9.958360494934006e-10,-4.259548271890414e-09,-4.291661335310531e-09,-2.0718023538246765e-09,-9.523403448769799e-10,-2.451287341112902e-09,-1.428997035968553e-08,-2.4488432181448778e-09,-9.9436165442027e-10
6,-2.227527387965855e-09,-1.3552970445438425e-08,-2.227814535704976e-09,-8.699696946410225e-10,-3.937030806959126e-09,-3.975273208558143e-09,-1.8772886223249585e-09,-8.286225838846269e-10,-2.2294638678416032e-09,-1.3572266395742076e-08,-2.2277551415509397e-09,-8.70304330363719e-10,-3.936288773838548e-09,-3.976295368109359e-09,-1.8792019510093432e-09,-8.28422376088057e-10,-2.229398270449876e-09,-1.3571453262952976e-08,-2.2287215749807215e-09,-8.689735802184172e-10,-3.9385087263983735e-09,-3.973240726286892e-09,-1.8807650473369983e-09,-8.281020902904204e-10,-2.2275143717793607e-09,-1.3561991597659312e-08,-2.228340273233072e-09,-8.712007307364379e-10,-3.936207854983226e-09,-3.9759724150602224e-09,-1.8786127908663098e-09,-8.287808469012904e-10,-2.229433006608352e-09,-1.3553095857574768e-08,-2.227543661075726e-09,-8.701682948389767e-10
7,-2.142335219908178e-09,-1.2874454081343523e-08,-2.142425259455105e-09,-8.481025657131553e-10,-3.764991240443346e-09,-3.7998976224337716e-09,-1.809428995550722e-09,-8.091444667193595e-10,-2.144628415373383e-09,-1.2889012261819796e-08,-2.142459394428172e-09,-8.482713350924064e-10,-3.767907039477222e-09,-3.800929366469705e-09,-1.8105887816450554e-09,-8.087581727510402e-10,-2.1466287703465558e-09,-1.2888737801556987e-08,-2.143701151852598e-09,-8.467766449153349e-10,-3.766419201166853e-09,-3.801799147515591e-09,-1.8153919215626136e-09,-8.084040903785446e-10,-2.1420684466025733e-09,-1.2881063987318398e-08,-2.144898421635723e-09,-8.503725571481599e-10,-3.767715434240096e-09,-3.800756675020365e-09,-1.8095996316561536e-09,-8.091503973448259e-10,-2.1466839656949463e-09,-1.2874542731998585e-08,-2.1423561714162487e-09,-8.48234967883128e-10
8,-2.03454225333961e-09,-1.223085407580975e-08,-2.034632585195857e-09,-8.051269002403496e-10,-3.5761267113508014e-09,-3.609319736492263e-09,-1.7182839785465197e-09,-7.681083815811073e-10,-2.0367088426988346e-09,-1.2244785798821469e-08,-2.0346626235959594e-09,-8.052911281486161e-10,-3.578800875890176e-09,-3.6102982937053484e-09,-1.719403167482306e-09,-7.677465554808033e-10,-2.0385547543456744e-09,-1.2244511680162e-08,-2.03583378447871e-09,-8.038771898856387e-10,-3.57748267405633e-09,-3.6110246976335166e-09,-1.7238785839432506e-09,-7.674114793562569e-10,-2.0342954925001367e-09,-1.223718618970098e-08,-2.036930046688429e-09,-8.072544301724148e-10,-3.5786218892855068e-09,-3.610130681142882e-09,-1.7184747903937655e-09,-7.681178201913766e-10,-2.0386066045111697e-09,-1.2230939113801134e-08,-2.0345620131286143e-09,-8.052541319162377e-10
9,-1.93579781601305e-09,-1.1618781094543188e-08,-1.9358622238702056e-09,-7.673889230788309e-10,-3.4000315935952145e-09,-3.4314221284123673e-09,-1.63534099874386e-09,-7.322579660384698e-10,-1.9379092644819044e-09,-1.1631564328769002e-08,-1.935901426349255e-09,-7.675275142064913e-10,-3.4029988012430175e-09,-3.4323588339075316e-09,-1.6363267691253907e-09,-7.318912300326984e-10,-1.9399051990272405e-09,-1.163136353630568e-08,-1.937051936088038e-09,-7.661574692183832e-10,-3.401322446957448e-09,-3.4334938121116772e-09,-1.6409683073101417e-09,-7.315671108885119e-10,-1.935533617888907e-09,-1.1624561890953737e-08,-1.9382765970477165e-09,-7.695390420529703e-10,-3.402815243403213e-09,-3.432215480345609e-09,-1.6353943522354455e-09,-7.322499401935437e-10,-1.9399570622784807e-09,-1.1618858230671861e-08,-1.935817230001671e-09,-7.675033004048103e-10
