,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.3223514722777714e-08,1.1748485640016402e-07,2.3224464514325144e-08,1.0514662632733663e-08,3.851352175984458e-08,3.8547818436765575e-08,2.0041312102349897e-08,1.019940165534167e-08,2.3229654098055494e-08,1.1770724196093245e-07,2.3225906136690245e-08,1.0513767770960406e-08,3.8483291108948837e-08,3.854771147960203e-08,2.004362762233359e-08,1.0194743344309515e-08,2.323792175629696e-08,1.176830843224072e-07,2.3227970918311804e-08,1.0511322245386655e-08,3.8515512555092867e-08,3.850832612321189e-08,2.0057731442073318e-08,1.0194093608758559e-08,2.3224508604843195e-08,1.1759740529868708e-07,2.3232398799801927e-08,1.0531792647671485e-08,3.8483705454527367e-08,3.854824016584423e-08,2.003954260921421e-08,1.0195474362618885e-08,2.323810559751033e-08,1.1748653928668515e-07,2.3223514863086624e-08,1.05164509752208e-08
2,2.2062443347958923e-08,1.1161061321733488e-07,2.206334604080482e-08,9.988993867489488e-09,3.6587965489328825e-08,3.6620538263595984e-08,1.9039341448560325e-08,9.689497230862211e-09,2.2068274739645198e-08,1.1182188817998529e-07,2.206471544895161e-08,9.988143600073622e-09,3.655923845866719e-08,3.6620436399600955e-08,1.9041542417304306e-08,9.685071793883757e-09,2.2076124787809775e-08,1.1179893721382225e-07,2.2066676231575636e-08,9.985820989532903e-09,3.658985656320289e-08,3.658301221350026e-08,1.9054934048306732e-08,9.684454692132522e-09,2.2063388117203606e-08,1.1171753927290747e-07,2.2070879531866907e-08,1.0005264622011868e-08,3.65596323415991e-08,3.662093846612399e-08,1.903766250040526e-08,9.685766144407242e-09,2.2076299390984285e-08,1.1161221203254111e-07,2.2062443440784115e-08,9.990692762028207e-09
3,2.0961199293258747e-08,1.0603063113052078e-07,2.0962053370021687e-08,9.490851359523116e-09,3.476067216754366e-08,3.479147437297044e-08,1.8089164312562205e-08,9.206352141350383e-09,2.09667420362902e-08,1.0623130074840418e-07,2.096335543676327e-08,9.490040319968452e-09,3.473342512566786e-08,3.47913768422489e-08,1.8091243261523227e-08,9.202145759050075e-09,2.0974228861944337e-08,1.0620950024562006e-07,2.09652214416716e-08,9.487831399212069e-09,3.4762466967237597e-08,3.475587147754981e-08,1.8104009298363283e-08,9.201558936016728e-09,2.0962092620336364e-08,1.0613219065854722e-07,2.0969237180349335e-08,9.506323590780716e-09,3.4733798075285546e-08,3.479185549539648e-08,1.8087552706579816e-08,9.202805720554613e-09,2.0974395002785868e-08,1.0603214970998094e-07,2.096119944748194e-08,9.492463275685934e-09
4,2.1297315347700573e-08,1.0110047502625286e-07,2.1296433607173605e-08,9.999420385138057e-09,3.4580153568310445e-08,3.4498336895457063e-08,1.8493726068720182e-08,9.74776331406427e-09,2.130342420942009e-08,1.0127585106763167e-07,2.1298454174201162e-08,9.996855510929525e-09,3.457532022640502e-08,3.449715864733572e-08,1.848801849290829e-08,9.742230619284734e-09,2.1327125554684452e-08,1.0125502284244345e-07,2.1301337039042463e-08,9.994444461857924e-09,3.4579884405129247e-08,3.448744372020221e-08,1.8523943821764882e-08,9.741651003565883e-09,2.1296353074906374e-08,1.0119024030551322e-07,2.131798269225145e-08,1.0023039702288184e-08,3.457509658223005e-08,3.4498803474940145e-08,1.848215789341123e-08,9.742843788738162e-09,2.1327416363932235e-08,1.0110182706925918e-07,2.129733160646006e-08,1.0000200448421586e-08
5,2.1359695387810315e-08,9.634898505908913e-08,2.1357462705702342e-08,1.0300377332104689e-08,3.4119424875863135e-08,3.3951291578751554e-08,1.86352312095934e-08,1.0076461115889212e-08,2.1366245884670135e-08,9.65027766012428e-08,2.136002301807238e-08,1.0296470945167881e-08,3.413235109529344e-08,3.394931259007302e-08,1.8623514419176382e-08,1.006994418414417e-08,2.1402453605318968e-08,9.648296288628922e-08,2.1363709291466302e-08,1.0293881647199362e-08,3.411758386859841e-08,3.39600055159227e-08,1.867733784577374e-08,1.0069365916235936e-08,2.1357277098371504e-08,9.642858248069696e-08,2.139010876007366e-08,1.0330174840561683e-08,3.413165577717719e-08,3.395184648679348e-08,1.8615990837822565e-08,1.0070526342369156e-08,2.1402840406753022e-08,9.63501923874935e-08,2.135972480429751e-08,1.0300496441224006e-08
6,2.1202855007785574e-08,9.177789965747876e-08,2.1199591232172472e-08,1.0433021881546138e-08,3.343847454157974e-08,3.320571913313015e-08,1.8565406623097995e-08,1.023254993306241e-08,2.120973717019195e-08,9.191327386147942e-08,2.1202544401701707e-08,1.0428114570401255e-08,3.34652682877708e-08,3.320316582922388e-08,1.8549148874804286e-08,1.022532965705665e-08,2.1255376089019075e-08,9.189449230300147e-08,2.120685198296054e-08,1.0425373613843374e-08,3.34354631816698e-08,3.3229774678240345e-08,1.8616500562356896e-08,1.0224749483144624e-08,2.119931493661944e-08,9.184872692946082e-08,2.124061965670529e-08,1.0467368105362893e-08,3.346420584103313e-08,3.3206360921667854e-08,1.8540384221917668e-08,1.022589180991e-08,2.1255835098965426e-08,9.177898111579085e-08,2.1202895016106822e-08,1.0432623305280717e-08
7,2.006010122428342e-08,8.717109498486771e-08,2.0057022154004208e-08,9.858462976837714e-09,3.167200186940034e-08,3.145687810241066e-08,1.7557682244153047e-08,9.667064420668427e-09,2.006676148134369e-08,8.729882878870528e-08,2.0059795160005735e-08,9.853851466788023e-09,3.169807969296395e-08,3.1454571085678314e-08,1.7542284573221693e-08,9.660255373226766e-09,2.011028629434368e-08,8.728116527029814e-08,2.0063963157012623e-08,9.851123932558371e-09,3.166922473667156e-08,3.148035360107184e-08,1.7606680719366547e-08,9.65967536502244e-09,2.0056724513593336e-08,8.7237846162657e-08,2.009614477096921e-08,9.891149991672947e-09,3.1697043447942376e-08,3.145754989747667e-08,1.7533965581858668e-08,9.660821736507794e-09,2.0110726277016725e-08,8.717211289670946e-08,2.0060141052119947e-08,9.85807516498369e-09
8,1.897620063627386e-08,8.2795019453755e-08,1.8973296381853784e-08,9.31373616131702e-09,2.999581480465672e-08,2.979731690005134e-08,1.660199611035112e-08,9.130977057393512e-09,1.898264818545957e-08,8.291550620792031e-08,1.8975899011886954e-08,9.309404456055872e-09,3.002120583020459e-08,2.9795241523368096e-08,1.6587413252224367e-08,9.124557406399466e-09,1.9024164777439732e-08,8.289890182542332e-08,1.8979933276329984e-08,9.306691880869224e-09,2.999325835050041e-08,2.982023513893935e-08,1.6648999038679245e-08,9.123978118171276e-09,1.8972979085084126e-08,8.285790583974588e-08,1.9010608719925497e-08,9.344847607724714e-09,3.002019481885814e-08,2.9798016197835565e-08,1.6579516939260583e-08,9.125127113365652e-09,1.902458664589511e-08,8.27959771340639e-08,1.897624026487999e-08,9.313358662415804e-09
9,1.794020590928465e-08,7.863634138628024e-08,1.7937470338460183e-08,8.792204948086945e-09,2.8396243863561352e-08,2.821399520493083e-08,1.568803997740362e-08,8.617581210035839e-09,1.7946458675833504e-08,7.874989201521221e-08,1.7939908223720388e-08,8.788143799411764e-09,2.842101579489079e-08,2.821214869486761e-08,1.5674236902833745e-08,8.611536230173435e-09,1.7986072675150576e-08,7.873430510568098e-08,1.7943819690942427e-08,8.785437076788603e-09,2.839390293940262e-08,2.8236416531734484e-08,1.5733171844487783e-08,8.610955621679356e-09,1.7937132031475555e-08,7.869552322436592e-08,1.7973066253878763e-08,8.821820049547437e-09,2.842002712863877e-08,2.8214724501830827e-08,1.566674472986588e-08,8.612111340813712e-09,1.7986477552374427e-08,7.86372412407964e-08,1.7940245458736017e-08,8.79183706403718e-09
10,1.716669571016109e-08,7.465863202797387e-08,1.7163553743332805e-08,8.441157462278958e-09,2.7092287100387553e-08,2.690876636891958e-08,1.5023878302426493e-08,8.276476872977828e-09,1.7173927548185637e-08,7.475555164602342e-08,1.716614737454965e-08,8.43684125064096e-09,2.712640185501467e-08,2.6907149900292558e-08,1.5008741796168654e-08,8.270138607152846e-09,1.7217703670835113e-08,7.474214405892037e-08,1.7170786903286493e-08,8.433637789590015e-09,2.7090073966205182e-08,2.6941311594562124e-08,1.5074541821582926e-08,8.26945052400862e-09,1.7163035293471602e-08,7.470920678121121e-08,1.720322485838637e-08,8.47258862111497e-09,2.712513013005882e-08,2.691001191331793e-08,1.500035663484334e-08,8.2708257590222e-09,1.7218153201299532e-08,7.465939951288464e-08,1.7166748918206565e-08,8.44064453885322e-09
11,1.6309297685679285e-08,7.092533622288806e-08,1.6306304692185234e-08,8.019863172744542e-09,2.57384775770686e-08,2.5564082443869702e-08,1.4273630488524686e-08,7.863425092362088e-09,1.63161855634017e-08,7.101725684331099e-08,1.6308772293469054e-08,8.015756010632893e-09,2.5771029602960068e-08,2.5562548882058074e-08,1.425922500538861e-08,7.857395829893388e-09,1.6357853607799843e-08,7.100454000535844e-08,1.631319301941376e-08,8.012703170604284e-09,2.5736376527705732e-08,2.5595152168650196e-08,1.4321864925204712e-08,7.856740129425146e-09,1.630580920377957e-08,7.097330318145112e-08,1.6344070440226498e-08,8.049765512298064e-09,2.5769817022079134e-08,2.5565273273740288e-08,1.4251241678234263e-08,7.858050712733565e-09,1.635828152493154e-08,7.092606411608425e-08,1.630934846421468e-08,8.019372860699496e-09
12,1.54946482149096e-08,6.737878170268911e-08,1.549179751270193e-08,7.619538315014423e-09,2.4452256386350757e-08,2.428653733808809e-08,1.3560774264734502e-08,7.470929498129684e-09,1.5501207595597352e-08,6.74659685754468e-08,1.5494145019992465e-08,7.615630383308254e-09,2.448330960280195e-08,2.4285082340437413e-08,1.3547065878343862e-08,7.465194535247074e-09,1.5540864879422987e-08,6.745390594649979e-08,1.5498356613034006e-08,7.61272153300089e-09,2.4450261735216142e-08,2.4316190236793502e-08,1.3606690727418196e-08,7.464569781592486e-09,1.5491324116396247e-08,6.742427915451303e-08,1.5527745389763984e-08,7.64798394774422e-09,2.4482153652736443e-08,2.4287675441250737e-08,1.3539466002191982e-08,7.465818596508205e-09,1.5541272178723208e-08,6.73794721057445e-08,1.5494696665415944e-08,7.619069739755466e-09
13,1.4787356005929457e-08,6.398619577170753e-08,1.4784354689121651e-08,7.2866055105500974e-09,2.3293425952199045e-08,2.3130359656296048e-08,1.294841456872311e-08,7.146064204186816e-09,1.4794229869068796e-08,6.406320244864565e-08,1.4786714909282873e-08,7.282647375815307e-09,2.3328582515314777e-08,2.3129057492343618e-08,1.2934279744095678e-08,7.140331849390374e-09,1.48352215337303e-08,6.405244176357476e-08,1.4791195867034784e-08,7.279532456843365e-09,2.3291515321005382e-08,2.3164529527860578e-08,1.2996206270448598e-08,7.139662898757013e-09,1.4783796366625264e-08,6.402640524106715e-08,1.4821621562748115e-08,7.3153746775232685e-09,2.332730614668641e-08,2.3131712205812108e-08,1.2926434693289935e-08,7.1410026130201645e-09,1.4835643240076085e-08,6.398680499321525e-08,1.4787410570936606e-08,7.2860465052217156e-09
14,1.4114088357239257e-08,6.076576300469208e-08,1.4110947150009945e-08,6.9693387503907335e-09,2.219167963443675e-08,2.203133548514677e-08,1.2365457323838846e-08,6.836451347028389e-09,1.412125459587222e-08,6.083318937007937e-08,1.411331720807164e-08,6.965336008804284e-09,2.2230659528021803e-08,2.203017927183039e-08,1.2350936815879332e-08,6.830725837613322e-09,1.4163466272020732e-08,6.082365697217718e-08,1.4118049750201153e-08,6.962026764284047e-09,2.2189852550333613e-08,2.2069714054191775e-08,1.2414976822375005e-08,6.830015206275834e-09,1.4110308695689186e-08,6.080099413907992e-08,1.4149424319206316e-08,6.998389636951483e-09,2.2229271005348352e-08,2.2032888886147635e-08,1.2342866872950493e-08,6.8314406524070285e-09,1.4163901222912445e-08,6.076629577812966e-08,1.4114148665739346e-08,6.968694146491432e-09
15,1.3453427098580519e-08,5.769466576433885e-08,1.345021434474312e-08,6.65539509131671e-09,2.1119977823008415e-08,2.096522317745043e-08,1.1791779086930354e-08,6.529574544433548e-09,1.346072999311247e-08,5.775400693423463e-08,1.3452565154957347e-08,6.6514035344977435e-09,2.1161395946854182e-08,2.0964188848386915e-08,1.1777139732082036e-08,6.52391982808065e-09,1.3503364773530272e-08,5.774552491308646e-08,1.3457433285085877e-08,6.647987709806141e-09,2.1118237998387402e-08,2.1006334468989616e-08,1.1842020479393484e-08,6.523186467653399e-09,1.3449522824974945e-08,5.772569312506855e-08,1.348915440001841e-08,6.6843128481549465e-09,2.1159938800557678e-08,2.0966910323548295e-08,1.176899161516653e-08,6.524659064473892e-09,1.3503804599803176e-08,5.7695134096268e-08,1.3453491048534458e-08,6.6546926464233375e-09
16,1.2484434856368553e-08,5.486812390036215e-08,1.2482619529565147e-08,6.11754572221922e-09,1.977029261249199e-08,1.9645083376645235e-08,1.0911118196140399e-08,5.995074932536754e-09,1.2488420331506895e-08,5.4946788044420903e-08,1.2484245263268557e-08,6.114786068189586e-09,1.978738427536159e-08,1.964374163108198e-08,1.090102881242575e-08,5.991022521569131e-09,1.2516393336253292e-08,5.4935626158278955e-08,1.2486741464484545e-08,6.113052391939752e-09,1.976829631203804e-08,1.9660696572424415e-08,1.0942379913376227e-08,5.990651704661737e-09,1.248242969295434e-08,5.490921878563467e-08,1.2507390839066734e-08,6.138304648085346e-09,1.978670346124017e-08,1.9645432658340334e-08,1.089612795158597e-08,5.991388056463161e-09,1.2516673563466014e-08,5.4868749297866854e-08,1.2484459154389958e-08,6.117278306975213e-09
17,1.1584222972457463e-08,5.230989926668341e-08,1.1583893792821395e-08,5.6029915328437525e-09,1.8543856972963606e-08,1.843646948422079e-08,1.0089793692124437e-08,5.48388802581364e-09,1.158472966656477e-08,5.241101775563976e-08,1.1584763911385097e-08,5.601520077127572e-09,1.853511087493075e-08,1.8434790150200778e-08,1.0084407800369403e-08,5.481488836532868e-09,1.1597471061077252e-08,5.2396699745092535e-08,1.1584756334014485e-08,5.601548909697285e-09,1.8541535609018435e-08,1.842498236998534e-08,1.0101257228841311e-08,5.4814972716102524e-09,1.158423822964378e-08,5.236269374931703e-08,1.1593892734871805e-08,5.6153852160396646e-09,1.8535251451247708e-08,1.843539014925159e-08,1.0082919181321356e-08,5.481463626689261e-09,1.1597585158911321e-08,5.2310706638536565e-08,1.1584205127603549e-08,5.603194760421213e-09
18,1.0723126080770466e-08,4.9882139261818166e-08,1.0724237602228352e-08,5.109820387329604e-09,1.7373337615999014e-08,1.7283144195312748e-08,9.30365400923658e-09,4.99384935440262e-09,1.0720260171508438e-08,5.0005118822549236e-08,1.0724376376254791e-08,5.109596417041006e-09,1.7339530963963203e-08,1.7281135185307794e-08,9.302822359598362e-09,4.9930500822013495e-09,1.0718245481504636e-08,4.998772821034621e-08,1.0721940765266632e-08,5.111335321946633e-09,1.737069825117138e-08,1.7245371661660434e-08,9.295931440039369e-09,4.993426494641563e-09,1.0725100699128814e-08,4.9946325297210074e-08,1.0719923435261217e-08,5.114115955382524e-09,1.734046818729356e-08,1.728067883654012e-08,9.30463992469296e-09,4.992645715260398e-09,1.0718198593686987e-08,4.9883123822634647e-08,1.0723067340053507e-08,5.110480734511604e-09
19,9.078134612187352e-09,4.906845211372889e-08,9.083148972186979e-09,4.023650152137442e-09,1.573546312945366e-08,1.577713368371502e-08,7.803873003669766e-09,3.9022037790020545e-09,9.0658554471784e-09,4.92796344779595e-08,9.081036999814674e-09,4.026851603020318e-09,1.5616976269801433e-08,1.5774515731368264e-08,7.821160964475444e-09,3.9061319264682165e-09,9.012422523280878e-09,4.92522040151009e-08,9.072061965210097e-09,4.0326010864945906e-09,1.573421845911324e-08,1.5648947378139056e-08,7.733339361272644e-09,3.907387114874812e-09,9.085281089969517e-09,4.9177846982591884e-08,9.031255494299755e-09,4.000232115241496e-09,1.562059595457506e-08,1.577065383313819e-08,7.832552440270518e-09,3.904819990177208e-09,9.011850053493683e-09,4.9070136406834655e-08,9.077968136910043e-09,4.02521755480445e-09
20,8.59456786871359e-09,4.6679597174354545e-08,8.599509117633428e-09,3.796407037593011e-09,1.4934100732770488e-08,1.4974975272891194e-08,7.384459090908745e-09,3.680731238370769e-09,8.582487654913363e-09,4.688428233792296e-08,8.597414844592338e-09,3.7995948482124065e-09,1.4817898495527922e-08,1.4972441514238214e-08,7.4015883923990326e-09,3.6846489894523555e-09,8.529624221582838e-09,4.6857726369445405e-08,8.588589029182659e-09,3.805259264150397e-09,1.493293278710531e-08,1.4849337071157704e-08,7.314818655460212e-09,3.6858852928023947e-09,8.601599198083015e-09,4.6785621569192477e-08,8.548235258804052e-09,3.7730595392659726e-09,1.4821452315241667e-08,1.496863966122133e-08,7.412815290492818e-09,3.6833572336695434e-09,8.529058348680708e-09,4.6681229810398656e-08,8.594404539306316e-09,3.797951538687712e-09
21,8.068414771074375e-09,4.45758658896369e-08,8.073695437710829e-09,3.5197821338750812e-09,1.4145143465769575e-08,1.4187000626742619e-08,6.9198087895022446e-09,3.4089030662546096e-09,8.055553989965154e-09,4.4783977586339415e-08,8.071414555344883e-09,3.523291080150431e-09,1.40225966592621e-08,1.4184433849183439e-08,6.938431608527897e-09,3.4132403047432763e-09,7.998328571567814e-09,4.4757076112294585e-08,8.062033497169613e-09,3.5293443741094957e-09,1.4144082866304696e-08,1.4054756420583517e-08,6.844873078641777e-09,3.414560683239873e-09,8.075896089989628e-09,4.468365242167545e-08,8.01840864489903e-09,3.4939420923008807e-09,1.402635776612798e-08,1.418038072135423e-08,6.950441944901538e-09,3.4118620522697014e-09,7.997717532939372e-09,4.457752651084992e-08,8.068242410270676e-09,3.521429562816471e-09
22,7.919520362010055e-09,4.236300055300341e-08,7.923692172738112e-09,3.5106661846312103e-09,1.3706972336971284e-08,1.372242029007259e-08,6.821291649152496e-09,3.4078227954478617e-09,7.909222255146594e-09,4.254489153209969e-08,7.921972068341423e-09,3.513252630824416e-09,1.3606944886179461e-08,1.3720121133611591e-08,6.835650761858937e-09,3.4109884787754744e-09,7.864709361766309e-09,4.2521210181700904e-08,7.914433069010727e-09,3.5181086200833964e-09,1.3705846397897184e-08,1.3614158773563236e-08,6.762347415056492e-09,3.412048375777092e-09,7.925505139332217e-09,4.24572447951112e-08,7.880430522080132e-09,3.4914148894669066e-09,1.3609996096936558e-08,1.371693181573956e-08,6.8451109452205405e-09,3.4098790269670466e-09,7.864231568028448e-09,4.236445080085139e-08,7.919380021253867e-09,3.511977520516685e-09
23,8.034523147913212e-09,4.001782561924698e-08,8.037270875955165e-09,3.6835290514531476e-09,1.3508960681349945e-08,1.3486088338244687e-08,6.978838639607109e-09,3.5910006866228537e-09,8.027595261867497e-09,4.0166519219958006e-08,8.036373834824067e-09,3.6848878226625226e-09,1.3438982438885946e-08,1.3483981621988493e-08,6.98707245584924e-09,3.592482979813903e-09,8.00080120789067e-09,4.0146712455078234e-08,8.03117743449009e-09,3.688399104487559e-09,1.3507447971023326e-08,1.3409626180633982e-08,6.9414780288241524e-09,3.593246783558367e-09,8.038637685213229e-09,4.009504688623987e-08,8.010572342723335e-09,3.6735735497406115e-09,1.3441084045455397e-08,1.3482048125570206e-08,6.993087018767661e-09,3.5916779887609485e-09,8.00050546606545e-09,4.001901187444489e-08,8.034421863882227e-09,3.6845234690626153e-09
24,8.142811630557129e-09,3.7790246741667854e-08,8.14420819162242e-09,3.847128581795857e-09,1.3319896031244553e-08,1.3260722760420556e-08,7.12759037990761e-09,3.764393499503415e-09,8.139081466963027e-09,3.790743363052313e-08,8.14409195331709e-09,3.84732266569356e-09,1.3278429782277825e-08,1.3258798901490925e-08,7.130013432132397e-09,3.764278861211217e-09,8.129097737651352e-09,3.789130446284924e-08,8.141118320365762e-09,3.849557920251458e-09,1.3318016843013358e-08,1.3214433028511318e-08,7.110708022827555e-09,3.7647616902686364e-09,8.145151608587066e-09,3.78513113933834e-08,8.133223619802534e-09,3.8459915208409635e-09,1.3279630325866155e-08,1.3258056797655287e-08,7.132758936674515e-09,3.7637627817296535e-09,8.128974723669877e-09,3.7791182432854154e-08,8.142747408653794e-09,3.847822212800744e-09
25,7.114164356175815e-09,3.600958639535618e-08,7.117367517108619e-09,3.222653763768501e-09,1.2034546277258935e-08,1.2014679807600186e-08,6.152994660060195e-09,3.137477997910139e-09,7.1053702028190624e-09,3.6160092245158384e-08,7.116056468043275e-09,3.2244331481906396e-09,1.1954741410574947e-08,1.201240629770199e-08,6.163091975374765e-09,3.139884023029792e-09,7.071969043409697e-09,3.6139681790325804e-08,7.10974486236874e-09,3.2286613429003658e-09,1.2032842041527217e-08,1.1928132315279709e-08,6.106902333901514e-09,3.1408087908887984e-09,7.118934080226282e-09,3.6087775875409394e-08,7.084178311069307e-09,3.2085089606088674e-09,1.1957172350686572e-08,1.200992647248287e-08,6.170777878828766e-09,3.1389100527744654e-09,7.0715981671753265e-09,3.601078989043087e-08,7.114048692022722e-09,3.223566276130098e-09
26,6.184944573865655e-09,3.430918827388801e-08,6.189721726879066e-09,2.6626675808540204e-09,1.0861270534983421e-08,1.0875864617871675e-08,5.274797858571531e-09,2.5756776201506748e-09,6.171738243215507e-09,3.4488382075875326e-08,6.187367575497236e-09,2.6658315887972466e-09,1.0748111290026953e-08,1.0873291394745975e-08,5.291591399424817e-09,2.580285946664099e-09,6.117909640711381e-09,3.4464288677338396e-08,6.178148950353321e-09,2.6717952813798964e-09,1.0859724698896509e-08,1.0754304333215892e-08,5.2032384622230025e-09,2.581595569820583e-09,6.1918299480533765e-09,3.440212048534159e-08,6.137168447847642e-09,2.637160462408658e-09,1.0751613226656722e-08,1.0869296790658618e-08,5.303583946755714e-09,2.5789132509099412e-09,6.117322590920826e-09,3.4310622407615826e-08,6.1847841605241034e-09,2.663769852051983e-09
27,5.396689921726357e-09,3.2676877727170565e-08,5.402679447595771e-09,2.1962945726297597e-09,9.840806603715685e-09,9.882552376374365e-09,4.534454634705186e-09,2.1085788962528394e-09,5.380084175095742e-09,3.287742260073377e-08,5.3995162286183846e-09,2.2005331088393825e-09,9.702057127830731e-09,9.879760418947741e-09,4.556431259047788e-09,2.114898615765623e-09,5.310460921217275e-09,3.285059619478894e-08,5.388061369126155e-09,2.207829749327663e-09,9.83939752038457e-09,9.734152697084688e-09,4.443236538567829e-09,2.1165039367914343e-09,5.405201624859519e-09,3.2780776615214074e-08,5.335165775105505e-09,2.16196724043705e-09,9.706381887947244e-09,9.874595729679905e-09,4.5717479306440335e-09,2.1132198100717443e-09,5.309706833128709e-09,3.2678483599619337e-08,5.396495221060052e-09,2.197539824284451e-09
28,4.748681652945701e-09,3.1183147507252846e-08,4.7552793279594234e-09,1.828587188348259e-09,8.982391642785503e-09,9.047072064003682e-09,3.936185245931452e-09,1.741324133488555e-09,4.7304637137917236e-09,3.139144864756361e-08,4.751706008692678e-09,1.8333909857581495e-09,8.832063271128784e-09,9.04423133664722e-09,3.960613877842764e-09,1.7485169775092035e-09,4.653350439289526e-09,3.1363622054151624e-08,4.739180235516509e-09,1.8413174042079726e-09,8.98104961478932e-09,8.886628192678448e-09,3.835753541014301e-09,1.7502610546938602e-09,4.757992127205977e-09,3.1290978577733795e-08,4.680628294553132e-09,1.789977890791494e-09,8.836755283064939e-09,9.038486188592719e-09,3.9775477533534596e-09,1.7466959982142514e-09,4.652517461893459e-09,3.1184813728042316e-08,4.748470725385925e-09,1.8299118769040516e-09
29,4.5717991235351976e-09,2.9601731810735226e-08,4.577921005165832e-09,1.7784683076045921e-09,8.591960313666009e-09,8.649416298322015e-09,3.7988826757945385e-09,1.696198563099239e-09,4.554884606895693e-09,2.9796758777550832e-08,4.574617488913047e-09,1.7829070693354602e-09,8.45212395677743e-09,8.646748194716743e-09,3.821519883844816e-09,1.7028409833329805e-09,4.483389206227604e-09,2.9770700166765692e-08,4.56298230200135e-09,1.790276871029133e-09,8.590686348846995e-09,8.500122394301506e-09,3.7056859390399042e-09,1.7044625675391468e-09,4.580447135208111e-09,2.970270363139324e-08,4.508691272606726e-09,1.7427526738194592e-09,8.456487584424718e-09,8.641424786766707e-09,3.837224363408041e-09,1.7011474899993782e-09,4.482616611592863e-09,2.9603292100175107e-08,4.571602921689122e-09,1.7797037415823068e-09
